STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/1,71,51,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/2,67,42,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/3,66,41,49
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/4,66,41,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/5,70,40,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/6,69,40,50
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/7,60,38,44
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/8,65,33,44
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/9,71,41,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/10,70,49,51
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/11,67,37,45
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/12,61,37,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/13,66,37,47
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/14,71,39,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/15,76,40,53
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/16,90,42,60
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/17,80,51,54
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/18,83,48,63
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/19,69,55,65
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/20,75,53,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/21,75,44,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/22,75,46,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/23,69,48,49
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/24,67,46,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/25,57,44,44
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/26,60,40,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/27,60,46,48
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/28,71,44,66
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/29,71,51,54
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/30,68,41,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/1/31,68,40,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/1,73,51,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/2,74,43,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/3,76,44,61
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/4,72,56,61
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/5,76,51,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/6,80,56,57
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/7,78,43,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/8,74,42,59
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/9,73,50,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/10,81,49,58
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/11,74,48,57
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/12,83,49,65
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/13,78,58,62
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/14,74,55,55
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/15,75,46,52
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/16,78,48,64
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/17,71,54,60
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/18,70,48,56
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",2021/2/19,74,42,55
