STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",2021/7/1,,61,53
USW00025333,"SITKA AIRPORT, AK US",2021/7/2,,60,52
USW00025333,"SITKA AIRPORT, AK US",2021/7/3,,66,54
USW00025333,"SITKA AIRPORT, AK US",2021/7/4,,60,55
USW00025333,"SITKA AIRPORT, AK US",2021/7/5,,65,55
USW00025333,"SITKA AIRPORT, AK US",2021/7/6,,59,54
USW00025333,"SITKA AIRPORT, AK US",2021/7/7,,58,53
USW00025333,"SITKA AIRPORT, AK US",2021/7/8,,58,53
USW00025333,"SITKA AIRPORT, AK US",2021/7/9,,57,53
USW00025333,"SITKA AIRPORT, AK US",2021/7/10,,60,51
USW00025333,"SITKA AIRPORT, AK US",2021/7/11,,60,51
USW00025333,"SITKA AIRPORT, AK US",2021/7/12,,60,54
USW00025333,"SITKA AIRPORT, AK US",2021/7/13,,57,52
USW00025333,"SITKA AIRPORT, AK US",2021/7/14,,58,51
USW00025333,"SITKA AIRPORT, AK US",2021/7/15,,60,50
USW00025333,"SITKA AIRPORT, AK US",2021/7/16,,61,54
USW00025333,"SITKA AIRPORT, AK US",2021/7/17,,63,56
USW00025333,"SITKA AIRPORT, AK US",2021/7/18,,63,57
USW00025333,"SITKA AIRPORT, AK US",2021/7/19,,70,55
USW00025333,"SITKA AIRPORT, AK US",2021/7/20,,64,56
USW00025333,"SITKA AIRPORT, AK US",2021/7/21,,59,54
USW00025333,"SITKA AIRPORT, AK US",2021/7/22,,63,55
USW00025333,"SITKA AIRPORT, AK US",2021/7/23,,61,56
USW00025333,"SITKA AIRPORT, AK US",2021/7/24,,58,54
USW00025333,"SITKA AIRPORT, AK US",2021/7/25,,59,52
USW00025333,"SITKA AIRPORT, AK US",2021/7/26,,64,49
USW00025333,"SITKA AIRPORT, AK US",2021/7/27,,62,57
USW00025333,"SITKA AIRPORT, AK US",2021/7/28,,70,52
USW00025333,"SITKA AIRPORT, AK US",2021/7/29,,70,52
USW00025333,"SITKA AIRPORT, AK US",2021/7/30,,73,60
USW00025333,"SITKA AIRPORT, AK US",2021/7/31,,66,48
